21:28:08.815532 config: drop-rate=0.00, max-delay=0s, seed=1649294888815328000
21:28:08.816914 router is listening at :3000
21:28:53.376846 [queue=0] packet #1, 127.0.0.1:64370 -> 127.0.0.1:1000, sz=2 is delivered
21:28:53.377205 [queue=0] packet #1, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=2 is delivered
21:28:53.378235 [queue=0] packet #2, 127.0.0.1:64370 -> 127.0.0.1:1000, sz=64 is delivered
21:28:53.379104 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:28:55.384603 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:28:57.387480 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:28:59.390174 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:01.390481 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:03.391330 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:05.393543 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:07.395319 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:09.397149 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:11.397894 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:13.401085 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:15.404041 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:17.406451 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:19.407257 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:21.409967 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:23.411317 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:25.412745 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:27.415216 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:29.416357 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:31.419631 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:33.421409 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:35.423859 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:37.425798 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:39.427186 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:41.430126 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:43.430997 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:45.434105 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:47.437574 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:47.455995 [queue=0] packet #1, 127.0.0.1:56370 -> 127.0.0.1:1000, sz=2 is delivered
21:29:49.460112 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:49.461057 [queue=0] packet #1, 127.0.0.1:56370 -> 127.0.0.1:1000, sz=2 is delivered
21:29:51.466716 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:51.467647 [queue=0] packet #1, 127.0.0.1:56370 -> 127.0.0.1:1000, sz=2 is delivered
21:29:53.473246 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:53.474184 [queue=0] packet #1, 127.0.0.1:56370 -> 127.0.0.1:1000, sz=2 is delivered
21:29:55.477494 [queue=0] packet #2, 127.0.0.1:1000 -> 127.0.0.1:64370, sz=49 is delivered
21:29:55.478299 [queue=0] packet #1, 127.0.0.1:56370 -> 127.0.0.1:1000, sz=2 is delivered
